session_id,configuration_id,ablation_mode,p,gamma,delay_s,packet_loss_rate,metric,mean,std,ci95_low,ci95_high,n
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,fusion_time_s,1.881799,0.018633,1.865466,1.898132,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,theta_mean,0.438272,0.015253,0.424902,0.451641,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,theta_std,0.057561,0.004822,0.053334,0.061788,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p1,baseline_graph_slam,1.000000,0.250000,0.500000,0.100000,pose_rmse_m,0.654433,0.019689,0.637175,0.671691,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p1,baseline_graph_slam,1.000000,0.250000,0.500000,0.100000,map_alignment_rmse_m,0.446476,0.009289,0.438334,0.454619,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p1,baseline_graph_slam,1.000000,0.250000,0.500000,0.100000,fusion_time_s,1.157759,0.011311,1.147845,1.167674,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p1,baseline_graph_slam,1.000000,0.250000,0.500000,0.100000,theta_mean,0.589234,0.013142,0.577715,0.600753,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p1,baseline_graph_slam,1.000000,0.250000,0.500000,0.100000,theta_std,0.051708,0.007480,0.045151,0.058265,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p3,baseline_graph_slam,1.000000,0.250000,0.500000,0.300000,pose_rmse_m,0.823394,0.010498,0.814193,0.832596,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p3,baseline_graph_slam,1.000000,0.250000,0.500000,0.300000,map_alignment_rmse_m,0.566179,0.015575,0.552527,0.579831,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p3,baseline_graph_slam,1.000000,0.250000,0.500000,0.300000,fusion_time_s,1.333537,0.015264,1.320158,1.346916,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p3,baseline_graph_slam,1.000000,0.250000,0.500000,0.300000,theta_mean,0.493105,0.013961,0.480867,0.505342,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d0p5_loss0p3,baseline_graph_slam,1.000000,0.250000,0.500000,0.300000,theta_std,0.048520,0.003329,0.045602,0.051439,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p1,baseline_graph_slam,1.000000,0.250000,2.000000,0.100000,pose_rmse_m,0.835862,0.015806,0.822008,0.849717,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p1,baseline_graph_slam,1.000000,0.250000,2.000000,0.100000,map_alignment_rmse_m,0.559259,0.016694,0.544625,0.573892,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p1,baseline_graph_slam,1.000000,0.250000,2.000000,0.100000,fusion_time_s,1.686959,0.020330,1.669139,1.704779,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p1,baseline_graph_slam,1.000000,0.250000,2.000000,0.100000,theta_mean,0.328886,0.010356,0.319809,0.337964,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p1,baseline_graph_slam,1.000000,0.250000,2.000000,0.100000,theta_std,0.033630,0.002490,0.031447,0.035813,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p3,baseline_graph_slam,1.000000,0.250000,2.000000,0.300000,pose_rmse_m,0.990750,0.014376,0.978149,1.003352,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p3,baseline_graph_slam,1.000000,0.250000,2.000000,0.300000,map_alignment_rmse_m,0.683684,0.010001,0.674917,0.692450,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p3,baseline_graph_slam,1.000000,0.250000,2.000000,0.300000,fusion_time_s,1.905385,0.012710,1.894244,1.916526,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p3,baseline_graph_slam,1.000000,0.250000,2.000000,0.300000,theta_mean,0.265654,0.009698,0.257154,0.274155,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p25_d2_loss0p3,baseline_graph_slam,1.000000,0.250000,2.000000,0.300000,theta_std,0.036479,0.001755,0.034941,0.038017,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p1,baseline_graph_slam,1.000000,0.500000,0.500000,0.100000,pose_rmse_m,0.658894,0.013036,0.647468,0.670321,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p1,baseline_graph_slam,1.000000,0.500000,0.500000,0.100000,map_alignment_rmse_m,0.433597,0.009409,0.425350,0.441844,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p1,baseline_graph_slam,1.000000,0.500000,0.500000,0.100000,fusion_time_s,1.170312,0.020711,1.152158,1.188466,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p1,baseline_graph_slam,1.000000,0.500000,0.500000,0.100000,theta_mean,0.517129,0.012677,0.506017,0.528241,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p1,baseline_graph_slam,1.000000,0.500000,0.500000,0.100000,theta_std,0.048124,0.002899,0.045583,0.050666,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p3,baseline_graph_slam,1.000000,0.500000,0.500000,0.300000,pose_rmse_m,0.823330,0.015033,0.810153,0.836507,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p3,baseline_graph_slam,1.000000,0.500000,0.500000,0.300000,map_alignment_rmse_m,0.560503,0.014753,0.547572,0.573434,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p3,baseline_graph_slam,1.000000,0.500000,0.500000,0.300000,fusion_time_s,1.352516,0.016283,1.338243,1.366789,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p3,baseline_graph_slam,1.000000,0.500000,0.500000,0.300000,theta_mean,0.432091,0.013140,0.420574,0.443609,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d0p5_loss0p3,baseline_graph_slam,1.000000,0.500000,0.500000,0.300000,theta_std,0.047432,0.002189,0.045513,0.049351,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p1,baseline_graph_slam,1.000000,0.500000,2.000000,0.100000,pose_rmse_m,0.837072,0.011790,0.826738,0.847406,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p1,baseline_graph_slam,1.000000,0.500000,2.000000,0.100000,map_alignment_rmse_m,0.551370,0.011294,0.541470,0.561270,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p1,baseline_graph_slam,1.000000,0.500000,2.000000,0.100000,fusion_time_s,1.703714,0.015166,1.690420,1.717007,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p1,baseline_graph_slam,1.000000,0.500000,2.000000,0.100000,theta_mean,0.199926,0.005460,0.195140,0.204712,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p1,baseline_graph_slam,1.000000,0.500000,2.000000,0.100000,theta_std,0.024638,0.002720,0.022253,0.027022,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p3,baseline_graph_slam,1.000000,0.500000,2.000000,0.300000,pose_rmse_m,1.006993,0.007739,1.000210,1.013776,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p3,baseline_graph_slam,1.000000,0.500000,2.000000,0.300000,map_alignment_rmse_m,0.686526,0.013408,0.674773,0.698279,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p3,baseline_graph_slam,1.000000,0.500000,2.000000,0.300000,fusion_time_s,1.893323,0.025097,1.871325,1.915321,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p3,baseline_graph_slam,1.000000,0.500000,2.000000,0.300000,theta_mean,0.161142,0.006190,0.155716,0.166568,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0p5_d2_loss0p3,baseline_graph_slam,1.000000,0.500000,2.000000,0.300000,theta_std,0.022812,0.001556,0.021449,0.024176,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p1,baseline_graph_slam,1.000000,1.000000,0.500000,0.100000,pose_rmse_m,0.644400,0.008212,0.637202,0.651598,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p1,baseline_graph_slam,1.000000,1.000000,0.500000,0.100000,map_alignment_rmse_m,0.444509,0.011630,0.434314,0.454703,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p1,baseline_graph_slam,1.000000,1.000000,0.500000,0.100000,fusion_time_s,1.181314,0.018665,1.164953,1.197674,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p1,baseline_graph_slam,1.000000,1.000000,0.500000,0.100000,theta_mean,0.403740,0.009887,0.395074,0.412406,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p1,baseline_graph_slam,1.000000,1.000000,0.500000,0.100000,theta_std,0.050347,0.001222,0.049276,0.051419,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p3,baseline_graph_slam,1.000000,1.000000,0.500000,0.300000,pose_rmse_m,0.830950,0.019630,0.813744,0.848156,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p3,baseline_graph_slam,1.000000,1.000000,0.500000,0.300000,map_alignment_rmse_m,0.566479,0.000844,0.565739,0.567219,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p3,baseline_graph_slam,1.000000,1.000000,0.500000,0.300000,fusion_time_s,1.356908,0.016980,1.342025,1.371791,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p3,baseline_graph_slam,1.000000,1.000000,0.500000,0.300000,theta_mean,0.337508,0.009525,0.329159,0.345856,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d0p5_loss0p3,baseline_graph_slam,1.000000,1.000000,0.500000,0.300000,theta_std,0.046058,0.004815,0.041838,0.050279,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p1,baseline_graph_slam,1.000000,1.000000,2.000000,0.100000,pose_rmse_m,0.830449,0.015686,0.816699,0.844198,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p1,baseline_graph_slam,1.000000,1.000000,2.000000,0.100000,map_alignment_rmse_m,0.567682,0.006842,0.561685,0.573680,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p1,baseline_graph_slam,1.000000,1.000000,2.000000,0.100000,fusion_time_s,1.720112,0.027105,1.696353,1.743870,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p1,baseline_graph_slam,1.000000,1.000000,2.000000,0.100000,theta_mean,0.074755,0.001618,0.073337,0.076173,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p1,baseline_graph_slam,1.000000,1.000000,2.000000,0.100000,theta_std,0.012208,0.001015,0.011318,0.013098,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p3,baseline_graph_slam,1.000000,1.000000,2.000000,0.300000,pose_rmse_m,0.998953,0.018700,0.982562,1.015344,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p3,baseline_graph_slam,1.000000,1.000000,2.000000,0.300000,map_alignment_rmse_m,0.692272,0.007415,0.685773,0.698772,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p3,baseline_graph_slam,1.000000,1.000000,2.000000,0.300000,fusion_time_s,1.903259,0.022647,1.883408,1.923110,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p3,baseline_graph_slam,1.000000,1.000000,2.000000,0.300000,theta_mean,0.059561,0.002357,0.057495,0.061627,5
springer_revision_full_20260530,baseline-graph-slam_p1_g1_d2_loss0p3,baseline_graph_slam,1.000000,1.000000,2.000000,0.300000,theta_std,0.010685,0.001047,0.009767,0.011603,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p1,baseline_graph_slam,2.000000,0.000000,0.500000,0.100000,pose_rmse_m,0.658822,0.025944,0.636081,0.681563,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p1,baseline_graph_slam,2.000000,0.000000,0.500000,0.100000,map_alignment_rmse_m,0.442195,0.005638,0.437254,0.447137,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p1,baseline_graph_slam,2.000000,0.000000,0.500000,0.100000,fusion_time_s,1.153356,0.012372,1.142511,1.164200,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p1,baseline_graph_slam,2.000000,0.000000,0.500000,0.100000,theta_mean,0.887617,0.009501,0.879289,0.895945,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p1,baseline_graph_slam,2.000000,0.000000,0.500000,0.100000,theta_std,0.039452,0.004260,0.035719,0.043186,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p3,baseline_graph_slam,2.000000,0.000000,0.500000,0.300000,pose_rmse_m,0.818314,0.013022,0.806899,0.829728,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p3,baseline_graph_slam,2.000000,0.000000,0.500000,0.300000,map_alignment_rmse_m,0.563295,0.009248,0.555189,0.571402,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p3,baseline_graph_slam,2.000000,0.000000,0.500000,0.300000,fusion_time_s,1.327713,0.022052,1.308384,1.347043,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p3,baseline_graph_slam,2.000000,0.000000,0.500000,0.300000,theta_mean,0.802316,0.014480,0.789624,0.815008,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d0p5_loss0p3,baseline_graph_slam,2.000000,0.000000,0.500000,0.300000,theta_std,0.053120,0.005129,0.048624,0.057615,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p1,baseline_graph_slam,2.000000,0.000000,2.000000,0.100000,pose_rmse_m,0.831109,0.017306,0.815940,0.846279,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p1,baseline_graph_slam,2.000000,0.000000,2.000000,0.100000,map_alignment_rmse_m,0.562812,0.006206,0.557372,0.568252,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p1,baseline_graph_slam,2.000000,0.000000,2.000000,0.100000,fusion_time_s,1.686935,0.023035,1.666744,1.707126,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p1,baseline_graph_slam,2.000000,0.000000,2.000000,0.100000,theta_mean,0.790735,0.016118,0.776606,0.804863,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p1,baseline_graph_slam,2.000000,0.000000,2.000000,0.100000,theta_std,0.049758,0.009782,0.041183,0.058332,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p3,baseline_graph_slam,2.000000,0.000000,2.000000,0.300000,pose_rmse_m,1.004479,0.009288,0.996338,1.012621,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p3,baseline_graph_slam,2.000000,0.000000,2.000000,0.300000,map_alignment_rmse_m,0.683864,0.009290,0.675720,0.692007,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p3,baseline_graph_slam,2.000000,0.000000,2.000000,0.300000,fusion_time_s,1.879964,0.016877,1.865171,1.894757,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p3,baseline_graph_slam,2.000000,0.000000,2.000000,0.300000,theta_mean,0.681232,0.018393,0.665110,0.697354,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0_d2_loss0p3,baseline_graph_slam,2.000000,0.000000,2.000000,0.300000,theta_std,0.061235,0.003177,0.058450,0.064020,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p1,baseline_graph_slam,2.000000,0.250000,0.500000,0.100000,pose_rmse_m,0.658786,0.019680,0.641535,0.676036,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p1,baseline_graph_slam,2.000000,0.250000,0.500000,0.100000,map_alignment_rmse_m,0.439913,0.010623,0.430602,0.449224,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p1,baseline_graph_slam,2.000000,0.250000,0.500000,0.100000,fusion_time_s,1.160498,0.010036,1.151702,1.169295,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p1,baseline_graph_slam,2.000000,0.250000,0.500000,0.100000,theta_mean,0.784482,0.009627,0.776044,0.792920,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p1,baseline_graph_slam,2.000000,0.250000,0.500000,0.100000,theta_std,0.037885,0.003539,0.034782,0.040987,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p3,baseline_graph_slam,2.000000,0.250000,0.500000,0.300000,pose_rmse_m,0.836267,0.016965,0.821396,0.851138,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p3,baseline_graph_slam,2.000000,0.250000,0.500000,0.300000,map_alignment_rmse_m,0.578937,0.008940,0.571100,0.586773,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p3,baseline_graph_slam,2.000000,0.250000,0.500000,0.300000,fusion_time_s,1.339841,0.021516,1.320982,1.358701,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p3,baseline_graph_slam,2.000000,0.250000,0.500000,0.300000,theta_mean,0.703039,0.010438,0.693889,0.712188,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d0p5_loss0p3,baseline_graph_slam,2.000000,0.250000,0.500000,0.300000,theta_std,0.044625,0.005082,0.040171,0.049080,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p1,baseline_graph_slam,2.000000,0.250000,2.000000,0.100000,pose_rmse_m,0.843756,0.011965,0.833269,0.854244,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p1,baseline_graph_slam,2.000000,0.250000,2.000000,0.100000,map_alignment_rmse_m,0.559294,0.011594,0.549132,0.569457,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p1,baseline_graph_slam,2.000000,0.250000,2.000000,0.100000,fusion_time_s,1.710295,0.014222,1.697829,1.722761,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p1,baseline_graph_slam,2.000000,0.250000,2.000000,0.100000,theta_mean,0.480957,0.004750,0.476794,0.485121,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p1,baseline_graph_slam,2.000000,0.250000,2.000000,0.100000,theta_std,0.034644,0.002423,0.032520,0.036768,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p3,baseline_graph_slam,2.000000,0.250000,2.000000,0.300000,pose_rmse_m,1.006178,0.013017,0.994768,1.017587,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p3,baseline_graph_slam,2.000000,0.250000,2.000000,0.300000,map_alignment_rmse_m,0.683193,0.014580,0.670413,0.695973,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p3,baseline_graph_slam,2.000000,0.250000,2.000000,0.300000,fusion_time_s,1.878912,0.013791,1.866824,1.891000,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p3,baseline_graph_slam,2.000000,0.250000,2.000000,0.300000,theta_mean,0.409142,0.009334,0.400960,0.417323,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p25_d2_loss0p3,baseline_graph_slam,2.000000,0.250000,2.000000,0.300000,theta_std,0.041336,0.003501,0.038268,0.044405,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p1,baseline_graph_slam,2.000000,0.500000,0.500000,0.100000,pose_rmse_m,0.661779,0.012034,0.651231,0.672328,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p1,baseline_graph_slam,2.000000,0.500000,0.500000,0.100000,map_alignment_rmse_m,0.441900,0.013772,0.429828,0.453972,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p1,baseline_graph_slam,2.000000,0.500000,0.500000,0.100000,fusion_time_s,1.160041,0.021717,1.141006,1.179076,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p1,baseline_graph_slam,2.000000,0.500000,0.500000,0.100000,theta_mean,0.691403,0.008911,0.683592,0.699213,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p1,baseline_graph_slam,2.000000,0.500000,0.500000,0.100000,theta_std,0.040275,0.005445,0.035502,0.045048,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p3,baseline_graph_slam,2.000000,0.500000,0.500000,0.300000,pose_rmse_m,0.829341,0.015181,0.816035,0.842648,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p3,baseline_graph_slam,2.000000,0.500000,0.500000,0.300000,map_alignment_rmse_m,0.566003,0.011636,0.555804,0.576202,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p3,baseline_graph_slam,2.000000,0.500000,0.500000,0.300000,fusion_time_s,1.348132,0.025358,1.325905,1.370359,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p3,baseline_graph_slam,2.000000,0.500000,0.500000,0.300000,theta_mean,0.621592,0.011041,0.611914,0.631270,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d0p5_loss0p3,baseline_graph_slam,2.000000,0.500000,0.500000,0.300000,theta_std,0.049486,0.007136,0.043231,0.055740,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p1,baseline_graph_slam,2.000000,0.500000,2.000000,0.100000,pose_rmse_m,0.828313,0.007985,0.821314,0.835312,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p1,baseline_graph_slam,2.000000,0.500000,2.000000,0.100000,map_alignment_rmse_m,0.558271,0.009077,0.550315,0.566227,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p1,baseline_graph_slam,2.000000,0.500000,2.000000,0.100000,fusion_time_s,1.707859,0.010030,1.699068,1.716650,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p1,baseline_graph_slam,2.000000,0.500000,2.000000,0.100000,theta_mean,0.289686,0.006949,0.283595,0.295778,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p1,baseline_graph_slam,2.000000,0.500000,2.000000,0.100000,theta_std,0.025758,0.002913,0.023204,0.028311,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p3,baseline_graph_slam,2.000000,0.500000,2.000000,0.300000,pose_rmse_m,1.003713,0.013801,0.991616,1.015811,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p3,baseline_graph_slam,2.000000,0.500000,2.000000,0.300000,map_alignment_rmse_m,0.685878,0.011916,0.675433,0.696323,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p3,baseline_graph_slam,2.000000,0.500000,2.000000,0.300000,fusion_time_s,1.897199,0.027385,1.873195,1.921203,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p3,baseline_graph_slam,2.000000,0.500000,2.000000,0.300000,theta_mean,0.249119,0.008934,0.241288,0.256950,5
springer_revision_full_20260530,baseline-graph-slam_p2_g0p5_d2_loss0p3,baseline_graph_slam,2.000000,0.500000,2.000000,0.300000,theta_std,0.027345,0.003909,0.023919,0.030772,5
